Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean,Population
,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,", Costa Rica",-17182.0,-584.0,-2291.285714285714,-80.85714285714286,5094118
,Costa Rica,9.7489,-83.7534,2020-01-23,0,0,", Costa Rica",0.0,0.0,-2326.0,-81.85714285714286,5094118
,Costa Rica,9.7489,-83.7534,2020-01-24,0,0,", Costa Rica",0.0,0.0,-2353.1428571428573,-81.85714285714286,5094118
,Costa Rica,9.7489,-83.7534,2020-01-25,0,0,", Costa Rica",0.0,0.0,-2394.714285714286,-81.85714285714286,5094118
,Costa Rica,9.7489,-83.7534,2020-01-26,0,0,", Costa Rica",0.0,0.0,-2405.5714285714284,-82.71428571428571,5094118
,Costa Rica,9.7489,-83.7534,2020-01-27,0,0,", Costa Rica",0.0,0.0,-2416.714285714286,-82.71428571428571,5094118
,Costa Rica,9.7489,-83.7534,2020-01-28,0,0,", Costa Rica",0.0,0.0,-2454.5714285714284,-83.42857142857143,5094118
,Costa Rica,9.7489,-83.7534,2020-01-29,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-01-30,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-01-31,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-01,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-02,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-03,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-04,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-05,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-06,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-07,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-08,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-09,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-10,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-11,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-12,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-13,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-14,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
,Costa Rica,9.7489,-83.7534,2020-02-15,0,0,", Costa Rica",0.0,0.0,0.0,0.0,5094118
