Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean,Population
French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,"French Guiana, France",-2559575.0,-62745.0,-355555.5714285714,-8762.714285714286,298682
French Guiana,France,3.9339,-53.1258,2020-01-23,0,0,"French Guiana, France",0.0,0.0,-357670.4285714286,-8802.0,298682
French Guiana,France,3.9339,-53.1258,2020-01-24,0,0,"French Guiana, France",0.0,0.0,-360747.71428571426,-8843.42857142857,298682
French Guiana,France,3.9339,-53.1258,2020-01-25,0,0,"French Guiana, France",0.0,0.0,-363622.5714285714,-8866.142857142857,298682
French Guiana,France,3.9339,-53.1258,2020-01-26,0,0,"French Guiana, France",0.0,0.0,-364055.4285714286,-8887.0,298682
French Guiana,France,3.9339,-53.1258,2020-01-27,0,0,"French Guiana, France",0.0,0.0,-365231.5714285714,-8911.714285714286,298682
French Guiana,France,3.9339,-53.1258,2020-01-28,0,0,"French Guiana, France",0.0,0.0,-365653.5714285714,-8963.57142857143,298682
French Guiana,France,3.9339,-53.1258,2020-01-29,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-01-30,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-01-31,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-01,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-02,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-03,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-04,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-05,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-06,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-07,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-08,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-09,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-10,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-11,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-12,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-13,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-14,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-15,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-16,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-17,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-18,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-19,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-20,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-21,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-22,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-23,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-24,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-25,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-26,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-27,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-28,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-02-29,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-01,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-02,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-03,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-04,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-05,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-06,0,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-07,5,0,"French Guiana, France",5.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-08,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-09,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-10,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-11,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-12,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-13,5,0,"French Guiana, France",0.0,0.0,0.7142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-14,5,0,"French Guiana, France",0.0,0.0,0.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-15,7,0,"French Guiana, France",2.0,0.0,0.2857142857142857,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-16,11,0,"French Guiana, France",4.0,0.0,0.8571428571428571,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-17,11,0,"French Guiana, France",0.0,0.0,0.8571428571428571,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-18,11,0,"French Guiana, France",0.0,0.0,0.8571428571428571,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-19,11,0,"French Guiana, France",0.0,0.0,0.8571428571428571,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-20,15,0,"French Guiana, France",4.0,0.0,1.4285714285714286,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-21,18,0,"French Guiana, France",3.0,0.0,1.8571428571428572,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-22,18,0,"French Guiana, France",0.0,0.0,1.5714285714285714,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-23,20,0,"French Guiana, France",2.0,0.0,1.2857142857142858,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-24,23,0,"French Guiana, France",3.0,0.0,1.7142857142857142,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-25,28,0,"French Guiana, France",5.0,0.0,2.4285714285714284,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-26,28,0,"French Guiana, France",0.0,0.0,2.4285714285714284,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-27,28,0,"French Guiana, France",0.0,0.0,1.8571428571428572,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-28,28,0,"French Guiana, France",0.0,0.0,1.4285714285714286,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-29,28,0,"French Guiana, France",0.0,0.0,1.4285714285714286,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-30,43,0,"French Guiana, France",15.0,0.0,3.2857142857142856,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-03-31,43,0,"French Guiana, France",0.0,0.0,2.857142857142857,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-01,51,0,"French Guiana, France",8.0,0.0,3.2857142857142856,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-02,51,0,"French Guiana, France",0.0,0.0,3.2857142857142856,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-03,57,0,"French Guiana, France",6.0,0.0,4.142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-04,61,0,"French Guiana, France",4.0,0.0,4.714285714285714,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-05,61,0,"French Guiana, France",0.0,0.0,4.714285714285714,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-06,72,0,"French Guiana, France",11.0,0.0,4.142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-07,72,0,"French Guiana, France",0.0,0.0,4.142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-08,77,0,"French Guiana, France",5.0,0.0,3.7142857142857144,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-09,83,0,"French Guiana, France",6.0,0.0,4.571428571428571,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-10,83,0,"French Guiana, France",0.0,0.0,3.7142857142857144,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-11,83,0,"French Guiana, France",0.0,0.0,3.142857142857143,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-12,86,0,"French Guiana, France",3.0,0.0,3.5714285714285716,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-13,86,0,"French Guiana, France",0.0,0.0,2.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-14,86,0,"French Guiana, France",0.0,0.0,2.0,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-15,86,0,"French Guiana, France",0.0,0.0,1.2857142857142858,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-16,86,0,"French Guiana, France",0.0,0.0,0.42857142857142855,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-17,96,0,"French Guiana, France",10.0,0.0,1.8571428571428572,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-18,96,0,"French Guiana, France",0.0,0.0,1.8571428571428572,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-19,96,0,"French Guiana, France",0.0,0.0,1.4285714285714286,0.0,298682
French Guiana,France,3.9339,-53.1258,2020-04-20,97,1,"French Guiana, France",1.0,1.0,1.5714285714285714,0.14285714285714285,298682
French Guiana,France,3.9339,-53.1258,2020-04-21,97,1,"French Guiana, France",0.0,0.0,1.5714285714285714,0.14285714285714285,298682
French Guiana,France,3.9339,-53.1258,2020-04-22,97,1,"French Guiana, France",0.0,0.0,1.5714285714285714,0.14285714285714285,298682
French Guiana,France,3.9339,-53.1258,2020-04-23,107,1,"French Guiana, France",10.0,0.0,3.0,0.14285714285714285,298682
