Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Maryland,US,39.5162234,-76.9382069,2020-01-22,283785111,1,0,"Maryland, US",,,,
Maryland,US,39.5162234,-76.9382069,2020-01-23,283785111,1,0,"Maryland, US",0.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-24,283785111,2,0,"Maryland, US",1.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-25,283785111,2,0,"Maryland, US",0.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-26,283785111,3,0,"Maryland, US",1.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-27,283785111,3,0,"Maryland, US",0.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-28,283785111,3,0,"Maryland, US",0.0,0.0,,
Maryland,US,39.5162234,-76.9382069,2020-01-29,283785111,3,0,"Maryland, US",0.0,0.0,0.2857142857142857,0.0
Maryland,US,39.5162234,-76.9382069,2020-01-30,283785111,3,0,"Maryland, US",0.0,0.0,0.2857142857142857,0.0
Maryland,US,39.5162234,-76.9382069,2020-01-31,283785111,5,0,"Maryland, US",2.0,0.0,0.42857142857142855,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-01,283785111,5,0,"Maryland, US",0.0,0.0,0.42857142857142855,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-02,283785111,5,0,"Maryland, US",0.0,0.0,0.2857142857142857,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-03,283785111,8,0,"Maryland, US",3.0,0.0,0.7142857142857143,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-04,283785111,8,0,"Maryland, US",0.0,0.0,0.7142857142857143,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-05,283785111,8,0,"Maryland, US",0.0,0.0,0.7142857142857143,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-06,283785111,9,0,"Maryland, US",1.0,0.0,0.8571428571428571,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-07,283785111,9,0,"Maryland, US",0.0,0.0,0.5714285714285714,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-08,283785111,9,0,"Maryland, US",0.0,0.0,0.5714285714285714,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-09,283785111,9,0,"Maryland, US",0.0,0.0,0.5714285714285714,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-10,283785111,9,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-11,283785111,9,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-12,283785111,9,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-13,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-14,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-15,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-16,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-17,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-18,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-19,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-20,283785111,9,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-21,283785111,10,0,"Maryland, US",1.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-22,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-23,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-24,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-25,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-26,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-27,283785111,10,0,"Maryland, US",0.0,0.0,0.14285714285714285,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-28,283785111,10,0,"Maryland, US",0.0,0.0,0.0,0.0
Maryland,US,39.5162234,-76.9382069,2020-02-29,283785111,18,1,"Maryland, US",8.0,1.0,1.1428571428571428,0.14285714285714285
Maryland,US,39.5162234,-76.9382069,2020-03-01,283785111,25,1,"Maryland, US",7.0,0.0,2.142857142857143,0.14285714285714285
Maryland,US,39.5162234,-76.9382069,2020-03-02,283785111,45,6,"Maryland, US",20.0,5.0,5.0,0.8571428571428571
Maryland,US,39.5162234,-76.9382069,2020-03-03,283785111,63,7,"Maryland, US",18.0,1.0,7.571428571428571,1.0
Maryland,US,39.5162234,-76.9382069,2020-03-04,283785111,87,10,"Maryland, US",24.0,3.0,11.0,1.4285714285714286
Maryland,US,39.5162234,-76.9382069,2020-03-05,283785111,155,11,"Maryland, US",68.0,1.0,20.714285714285715,1.5714285714285714
Maryland,US,39.5162234,-76.9382069,2020-03-06,283785111,194,13,"Maryland, US",39.0,2.0,26.285714285714285,1.8571428571428572
Maryland,US,39.5162234,-76.9382069,2020-03-07,283785111,338,16,"Maryland, US",144.0,3.0,45.714285714285715,2.142857142857143
Maryland,US,39.5162234,-76.9382069,2020-03-08,283785111,444,20,"Maryland, US",106.0,4.0,59.857142857142854,2.7142857142857144
Maryland,US,39.5162234,-76.9382069,2020-03-09,283785111,511,21,"Maryland, US",67.0,1.0,66.57142857142857,2.142857142857143
Maryland,US,39.5162234,-76.9382069,2020-03-10,283785111,673,27,"Maryland, US",162.0,6.0,87.14285714285714,2.857142857142857
Maryland,US,39.5162234,-76.9382069,2020-03-11,283785111,989,30,"Maryland, US",316.0,3.0,128.85714285714286,2.857142857142857
Maryland,US,39.5162234,-76.9382069,2020-03-12,283785111,1421,40,"Maryland, US",432.0,10.0,180.85714285714286,4.142857142857143
