Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean,Population
,Netherlands,52.1326,5.2913,2020-01-22,0,0,", Netherlands",-258840.0,-1832.0,-36462.28571428572,-256.85714285714283,17134872
,Netherlands,52.1326,5.2913,2020-01-23,0,0,", Netherlands",0.0,0.0,-36568.42857142857,-257.57142857142856,17134872
,Netherlands,52.1326,5.2913,2020-01-24,0,0,", Netherlands",0.0,0.0,-36656.0,-258.2857142857143,17134872
,Netherlands,52.1326,5.2913,2020-01-25,0,0,", Netherlands",0.0,0.0,-36742.857142857145,-259.42857142857144,17134872
,Netherlands,52.1326,5.2913,2020-01-26,0,0,", Netherlands",0.0,0.0,-36814.28571428572,-259.85714285714283,17134872
,Netherlands,52.1326,5.2913,2020-01-27,0,0,", Netherlands",0.0,0.0,-36883.0,-260.7142857142857,17134872
,Netherlands,52.1326,5.2913,2020-01-28,0,0,", Netherlands",0.0,0.0,-36977.142857142855,-261.7142857142857,17134872
,Netherlands,52.1326,5.2913,2020-01-29,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-01-30,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-01-31,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-01,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-02,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-03,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-04,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-05,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-06,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-07,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-08,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-09,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-10,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-11,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-12,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-13,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-14,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-15,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-16,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-17,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-18,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-19,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-20,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-21,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-22,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-23,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-24,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-25,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-26,0,0,", Netherlands",0.0,0.0,0.0,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-27,1,0,", Netherlands",1.0,0.0,0.14285714285714285,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-28,1,0,", Netherlands",0.0,0.0,0.14285714285714285,0.0,17134872
,Netherlands,52.1326,5.2913,2020-02-29,6,0,", Netherlands",5.0,0.0,0.8571428571428571,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-01,10,0,", Netherlands",4.0,0.0,1.4285714285714286,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-02,18,0,", Netherlands",8.0,0.0,2.5714285714285716,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-03,24,0,", Netherlands",6.0,0.0,3.4285714285714284,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-04,38,0,", Netherlands",14.0,0.0,5.428571428571429,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-05,82,0,", Netherlands",44.0,0.0,11.571428571428571,0.0,17134872
,Netherlands,52.1326,5.2913,2020-03-06,128,1,", Netherlands",46.0,1.0,18.142857142857142,0.14285714285714285,17134872
,Netherlands,52.1326,5.2913,2020-03-07,188,1,", Netherlands",60.0,0.0,26.0,0.14285714285714285,17134872
,Netherlands,52.1326,5.2913,2020-03-08,265,3,", Netherlands",77.0,2.0,36.42857142857143,0.42857142857142855,17134872
,Netherlands,52.1326,5.2913,2020-03-09,321,3,", Netherlands",56.0,0.0,43.285714285714285,0.42857142857142855,17134872
,Netherlands,52.1326,5.2913,2020-03-10,382,4,", Netherlands",61.0,1.0,51.142857142857146,0.5714285714285714,17134872
,Netherlands,52.1326,5.2913,2020-03-11,503,5,", Netherlands",121.0,1.0,66.42857142857143,0.7142857142857143,17134872
,Netherlands,52.1326,5.2913,2020-03-12,503,5,", Netherlands",0.0,0.0,60.142857142857146,0.7142857142857143,17134872
,Netherlands,52.1326,5.2913,2020-03-13,804,10,", Netherlands",301.0,5.0,96.57142857142857,1.2857142857142858,17134872
,Netherlands,52.1326,5.2913,2020-03-14,959,12,", Netherlands",155.0,2.0,110.14285714285714,1.5714285714285714,17134872
,Netherlands,52.1326,5.2913,2020-03-15,1135,20,", Netherlands",176.0,8.0,124.28571428571429,2.4285714285714284,17134872
,Netherlands,52.1326,5.2913,2020-03-16,1413,24,", Netherlands",278.0,4.0,156.0,3.0,17134872
,Netherlands,52.1326,5.2913,2020-03-17,1705,43,", Netherlands",292.0,19.0,189.0,5.571428571428571,17134872
,Netherlands,52.1326,5.2913,2020-03-18,2051,58,", Netherlands",346.0,15.0,221.14285714285714,7.571428571428571,17134872
,Netherlands,52.1326,5.2913,2020-03-19,2460,76,", Netherlands",409.0,18.0,279.57142857142856,10.142857142857142,17134872
,Netherlands,52.1326,5.2913,2020-03-20,2994,106,", Netherlands",534.0,30.0,312.85714285714283,13.714285714285714,17134872
,Netherlands,52.1326,5.2913,2020-03-21,3631,136,", Netherlands",637.0,30.0,381.7142857142857,17.714285714285715,17134872
,Netherlands,52.1326,5.2913,2020-03-22,4204,179,", Netherlands",573.0,43.0,438.42857142857144,22.714285714285715,17134872
,Netherlands,52.1326,5.2913,2020-03-23,4749,213,", Netherlands",545.0,34.0,476.57142857142856,27.0,17134872
,Netherlands,52.1326,5.2913,2020-03-24,5560,276,", Netherlands",811.0,63.0,550.7142857142857,33.285714285714285,17134872
,Netherlands,52.1326,5.2913,2020-03-25,6412,356,", Netherlands",852.0,80.0,623.0,42.57142857142857,17134872
,Netherlands,52.1326,5.2913,2020-03-26,7431,434,", Netherlands",1019.0,78.0,710.1428571428571,51.142857142857146,17134872
,Netherlands,52.1326,5.2913,2020-03-27,8603,546,", Netherlands",1172.0,112.0,801.2857142857143,62.857142857142854,17134872
,Netherlands,52.1326,5.2913,2020-03-28,9762,639,", Netherlands",1159.0,93.0,875.8571428571429,71.85714285714286,17134872
,Netherlands,52.1326,5.2913,2020-03-29,10866,771,", Netherlands",1104.0,132.0,951.7142857142857,84.57142857142857,17134872
,Netherlands,52.1326,5.2913,2020-03-30,11750,864,", Netherlands",884.0,93.0,1000.1428571428571,93.0,17134872
,Netherlands,52.1326,5.2913,2020-03-31,12595,1039,", Netherlands",845.0,175.0,1005.0,109.0,17134872
